Umur,Jumlah Masukan,Bahan Makanan,Vit. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
25,1,43,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
27,9,"16, 3, 22, 50, 31, 40, 2, 16, 40",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,o,x
20,4,"45, 26, 19, 61",o,o,o,x,o,x,o,o,x,x,o,x,x,x,o,x,x,x
20,8,"4, 47, 46, 53, 28, 5, 37, 24",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
14,6,"47, 3, 49, 8, 60, 47",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,x
0,6,"39, 31, 23, 35, 24, 63",o,o,o,x,x,x,o,o,o,x,x,o,o,x,o,o,x,o
14,6,"43, 16, 30, 29, 32, 46",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
2,1,38,x,x,x,x,x,x,x,x,x,x,x,o,o,x,x,x,x,x
6,6,"17, 53, 19, 62, 3, 48",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
34,1,44,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
17,5,"54, 33, 12, 30, 46",x,o,o,x,x,x,o,o,x,x,o,x,x,x,x,x,x,x
20,9,"24, 57, 27, 4, 45, 27, 37, 26, 47",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
12,9,"30, 32, 7, 35, 25, 62, 39, 8, 52",x,o,o,x,o,x,x,o,x,x,x,x,o,x,x,x,x,o
22,8,"53, 49, 50, 61, 46, 59, 36, 44",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
13,4,"44, 1, 26, 36",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,10,"35, 57, 12, 29, 63, 25, 14, 3, 24, 37",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
7,7,"55, 21, 25, 48, 17, 40, 61",o,o,o,o,o,x,o,o,o,o,o,x,o,x,o,o,o,o
5,1,5,x,o,x,x,x,x,x,x,x,x,x,o,o,x,x,x,x,x
11,7,"38, 12, 8, 60, 24, 15, 19",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
31,4,"38, 26, 39, 52",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
27,1,45,o,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
36,4,"5, 48, 28, 37",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
34,3,"47, 4, 17",x,o,x,x,o,x,o,o,x,o,x,x,x,x,x,x,x,x
22,10,"40, 30, 61, 11, 46, 25, 32, 5, 31, 38",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
7,4,"5, 27, 60, 14",x,o,x,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
9,8,"29, 23, 3, 35, 8, 29, 5, 23",x,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
30,5,"46, 22, 51, 58, 11",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
28,2,"37, 49",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
31,9,"30, 56, 33, 8, 10, 55, 28, 48, 61",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
7,9,"2, 14, 31, 25, 23, 6, 23, 46, 33",x,o,o,x,x,x,o,o,o,o,x,x,o,x,o,o,x,o
4,5,"23, 11, 60, 22, 43",x,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
15,6,"10, 48, 53, 11, 29, 33",x,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,x
27,10,"33, 52, 32, 6, 27, 10, 34, 48, 14, 26",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
21,1,18,x,x,x,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
20,10,"41, 48, 21, 56, 9, 52, 38, 23, 5, 31",o,o,o,o,o,x,o,o,o,o,o,o,o,x,o,x,x,o
8,10,"26, 53, 13, 59, 1, 24, 10, 45, 27, 59",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
27,3,"7, 43, 40",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
25,7,"29, 30, 38, 18, 48, 31, 15",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
1,9,"49, 45, 43, 47, 26, 3, 39, 61, 19",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
13,2,"50, 3",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
20,10,"40, 27, 46, 10, 18, 14, 63, 47, 50, 52",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,x,x,o
3,6,"1, 6, 7, 8, 9, 51",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
8,1,10,x,x,x,x,x,x,x,x,x,x,x,x,o,x,x,o,x,x
21,10,"6, 49, 59, 28, 39, 45, 43, 12, 42, 12",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,o
10,7,"3, 34, 48, 21, 29, 50, 56",o,o,o,o,o,x,o,o,o,o,o,o,o,x,o,o,o,o
18,7,"30, 31, 46, 26, 48, 19, 6",x,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,x
15,10,"16, 62, 57, 35, 10, 60, 45, 63, 62, 6",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,x,x,o
8,4,"13, 23, 40, 29",x,o,x,x,x,x,o,o,x,x,x,x,o,x,x,x,x,o
28,6,"27, 38, 15, 16, 16, 8",x,o,x,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
35,5,"28, 54, 33, 4, 57",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
9,8,"37, 10, 29, 1, 10, 2, 49, 32",x,o,o,x,x,x,x,o,o,x,x,x,o,x,x,o,x,o
18,7,"46, 52, 58, 21, 39, 39, 29",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,o
17,1,60,x,o,x,x,o,x,o,x,x,x,x,o,x,x,x,x,x,x
0,9,"57, 19, 55, 38, 63, 5, 29, 15, 24",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
8,7,"34, 26, 51, 48, 44, 56, 53",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
14,6,"12, 12, 59, 45, 26, 9",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
27,4,"58, 54, 40, 18",o,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
9,1,20,o,o,x,x,x,x,o,x,x,x,x,o,o,x,o,x,o,x
6,1,57,x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
35,5,"26, 3, 53, 22, 23",x,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,o,x
10,6,"15, 57, 26, 26, 51, 19",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,x
21,1,25,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,2,"40, 55",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
15,5,"6, 13, 35, 62, 30",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,8,"35, 61, 16, 8, 47, 15, 39, 34",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
10,2,"33, 48",x,o,x,x,o,x,o,o,x,o,o,x,o,x,o,o,x,x
12,8,"35, 23, 2, 16, 24, 28, 52, 9",o,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,x,x
27,7,"26, 40, 34, 29, 56, 27, 13",x,o,o,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
1,2,"11, 25",x,o,x,x,x,x,o,o,x,x,x,o,o,x,o,o,x,o
16,5,"36, 60, 39, 25, 50",o,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,x
1,5,"25, 48, 8, 25, 25",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
30,7,"45, 53, 4, 50, 12, 36, 40",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
23,10,"26, 26, 24, 41, 50, 31, 9, 37, 45, 52",o,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,x
8,6,"20, 36, 32, 12, 33, 48",o,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
21,8,"29, 18, 35, 47, 16, 33, 59, 8",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,x
2,10,"36, 41, 36, 41, 1, 61, 12, 5, 32, 49",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
5,7,"43, 32, 37, 37, 40, 18, 36",x,o,o,x,o,x,o,o,x,x,x,o,o,x,o,o,o,o
7,7,"19, 17, 44, 43, 40, 51, 42",x,o,o,x,x,x,o,o,o,o,x,x,o,x,o,o,o,o
10,7,"23, 17, 29, 61, 20, 42, 5",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
17,3,"34, 27, 10",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
22,6,"57, 41, 31, 37, 37, 60",o,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
2,7,"61, 24, 14, 61, 6, 60, 8",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
7,7,"17, 21, 27, 62, 56, 31, 35",o,o,o,o,o,x,o,o,o,o,x,x,o,x,o,o,o,o
14,8,"26, 15, 27, 47, 31, 58, 36, 63",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,x
8,4,"18, 42, 43, 59",o,o,o,x,x,x,o,o,x,x,o,x,o,x,o,o,x,o
26,9,"26, 24, 51, 45, 6, 58, 52, 32, 5",o,o,o,x,o,x,x,o,x,x,o,o,x,x,x,x,x,o
18,10,"28, 12, 57, 33, 9, 52, 16, 29, 27, 46",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
6,6,"21, 55, 14, 42, 26, 60",o,o,x,o,o,x,o,o,o,x,o,o,o,x,o,o,x,o
17,5,"55, 12, 29, 45, 48",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
19,5,"28, 28, 9, 20, 46",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
34,8,"47, 15, 42, 49, 10, 41, 33, 29",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
27,7,"14, 35, 2, 24, 37, 2, 10",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
20,4,"14, 25, 47, 27",x,o,o,x,o,x,o,o,x,x,x,x,x,x,o,x,x,x
21,9,"56, 46, 40, 23, 2, 22, 12, 10, 2",x,o,o,x,x,x,o,o,o,x,o,o,x,x,o,x,x,x
22,2,"7, 59",o,o,o,x,x,x,x,o,x,x,o,x,x,x,x,x,x,x
34,6,"45, 53, 44, 55, 27, 54",o,o,o,x,x,x,x,o,x,x,o,o,o,x,x,x,x,x
22,10,"62, 59, 30, 3, 44, 39, 25, 42, 34, 49",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,o
10,2,"10, 40",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,o,x,x
18,7,"1, 18, 46, 14, 15, 21, 13",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,x
17,6,"55, 14, 12, 30, 19, 51",x,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,x,x
1,4,"37, 52, 15, 10",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
23,2,"40, 36",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,5,"25, 48, 56, 55, 54",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
2,5,"9, 44, 32, 17, 48",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
2,6,"36, 30, 45, 8, 10, 16",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
19,2,"54, 62",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
29,4,"12, 48, 17, 42",x,o,x,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
10,8,"1, 9, 15, 11, 59, 45, 6, 39",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
9,7,"46, 48, 24, 45, 39, 39, 49",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
22,3,"2, 29, 26",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
30,3,"30, 2, 29",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
23,7,"26, 9, 30, 22, 18, 12, 47",x,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,o,x
34,7,"28, 54, 43, 57, 51, 17, 6",x,o,o,x,x,x,o,o,x,o,x,x,x,x,x,x,x,x
29,3,"29, 25, 14",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
4,4,"36, 11, 36, 42",x,o,x,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
5,7,"12, 36, 7, 14, 48, 31, 7",x,o,x,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
12,8,"56, 40, 29, 20, 60, 8, 21, 2",o,o,o,o,o,x,o,o,o,x,x,o,o,x,o,x,o,x
23,8,"31, 59, 29, 59, 24, 36, 7, 59",o,o,o,x,x,x,o,o,x,x,o,o,o,x,x,x,x,x
26,9,"45, 33, 37, 37, 17, 49, 30, 58, 24",o,o,o,x,x,x,o,o,x,o,x,o,x,x,x,x,x,o
15,9,"56, 32, 40, 7, 10, 63, 36, 9, 31",x,o,o,x,x,x,o,o,o,x,x,o,o,x,x,x,x,x
26,5,"26, 32, 22, 28, 16",x,o,o,x,x,x,o,o,x,x,o,o,x,x,x,x,x,x
13,8,"40, 22, 21, 55, 18, 25, 50, 15",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,x
0,6,"13, 57, 23, 63, 27, 44",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
6,9,"21, 14, 55, 17, 22, 41, 47, 57, 56",o,o,o,o,o,x,o,o,o,o,o,o,o,x,o,o,o,o
7,1,13,x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
18,3,"12, 43, 11",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
36,2,"51, 34",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
7,7,"18, 32, 32, 14, 42, 23, 29",x,o,o,x,o,x,o,o,o,o,x,x,o,x,o,o,x,o
24,4,"53, 46, 56, 30",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
0,10,"16, 37, 11, 24, 55, 25, 24, 33, 43, 6",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
5,7,"5, 6, 13, 49, 15, 7, 62",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
27,6,"39, 27, 4, 44, 38, 11",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
34,7,"47, 19, 20, 27, 38, 38, 36",o,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,o,x
36,1,42,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
16,10,"17, 58, 5, 23, 63, 46, 62, 31, 58, 52",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
8,4,"10, 50, 41, 54",o,o,o,x,x,x,x,o,x,x,o,x,o,x,x,o,x,o
10,6,"62, 56, 45, 40, 58, 32",o,o,o,x,o,x,x,o,x,x,o,x,o,x,o,o,x,o
36,5,"33, 17, 35, 46, 35",x,o,o,x,x,x,x,o,x,o,x,x,x,x,x,x,x,x
7,3,"27, 25, 14",x,o,x,x,x,x,o,o,x,x,x,x,o,x,o,x,x,o
23,3,"8, 8, 24",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
22,1,45,o,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
31,10,"41, 36, 32, 50, 17, 31, 53, 4, 24, 39",o,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,x,x
23,9,"11, 45, 61, 53, 5, 58, 30, 3, 20",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,o,o
26,9,"57, 22, 23, 15, 60, 11, 62, 32, 58",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
31,10,"58, 49, 1, 17, 4, 17, 11, 20, 34, 3",o,o,o,x,x,x,o,o,o,o,o,o,x,x,o,x,o,o
20,8,"21, 49, 52, 50, 34, 19, 12, 48",o,o,o,o,o,x,o,o,x,o,o,o,x,x,o,x,x,x
17,4,"45, 48, 59, 29",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
4,5,"5, 12, 60, 49, 25",x,o,x,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
33,1,44,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
31,1,54,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
2,1,59,o,o,x,x,x,x,x,x,x,x,o,o,o,x,x,x,x,x
27,6,"28, 33, 31, 58, 29, 48",o,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
26,9,"48, 12, 8, 1, 59, 42, 8, 41, 21",o,o,o,o,o,x,o,o,o,o,o,o,x,x,o,x,x,x
14,8,"52, 50, 30, 9, 20, 44, 15, 48",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,o,x
14,7,"30, 33, 33, 2, 10, 16, 37",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
21,2,"17, 25",x,o,x,x,x,x,x,o,x,o,x,x,x,x,x,x,x,x
29,5,"21, 49, 56, 47, 16",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,x
18,9,"21, 56, 32, 9, 1, 4, 32, 17, 58",o,o,o,o,o,x,o,o,o,o,x,o,x,x,o,x,o,x
17,10,"12, 41, 52, 33, 54, 4, 36, 9, 26, 37",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
29,10,"47, 44, 53, 37, 50, 19, 56, 20, 21, 45",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,o,x
15,4,"3, 47, 43, 23",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
32,3,"4, 54, 47",x,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
15,6,"51, 40, 7, 58, 18, 43",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
16,10,"56, 19, 58, 36, 58, 56, 42, 7, 26, 43",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
34,6,"6, 8, 13, 14, 49, 2",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
21,10,"8, 41, 5, 12, 8, 47, 45, 18, 2, 48",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
29,2,"31, 36",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
1,6,"40, 49, 35, 16, 6, 10",x,o,o,x,x,x,o,o,o,x,x,o,o,x,o,o,x,o
5,5,"13, 60, 18, 52, 27",x,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
9,10,"19, 35, 37, 54, 51, 58, 41, 16, 41, 25",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
16,1,13,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
15,10,"24, 51, 33, 61, 5, 49, 8, 58, 56, 19",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
12,3,"10, 60, 34",x,o,x,x,o,x,o,o,x,x,x,x,o,x,o,x,x,x
10,4,"54, 56, 38, 26",x,o,o,x,x,x,x,o,x,x,o,x,o,x,x,o,x,x
32,5,"38, 30, 54, 37, 50",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
32,5,"25, 7, 46, 41, 20",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
11,5,"9, 51, 15, 5, 44",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
4,10,"27, 20, 2, 1, 43, 8, 11, 19, 44, 18",o,o,o,o,x,x,o,o,o,o,o,o,o,o,o,o,o,o
22,10,"37, 28, 20, 59, 12, 9, 25, 3, 49, 40",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,o,x
23,6,"48, 34, 29, 31, 59, 30",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
30,1,25,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
31,4,"61, 12, 34, 24",o,o,o,x,o,x,o,o,x,x,o,x,x,x,x,x,x,x
34,4,"7, 27, 33, 19",x,o,o,x,x,x,x,o,x,x,x,x,x,x,o,x,x,x
33,2,"32, 38",x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
26,5,"43, 52, 18, 7, 5",x,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
8,9,"30, 45, 12, 63, 46, 4, 18, 62, 16",o,o,o,o,x,x,o,o,x,x,o,o,o,x,o,o,x,o
32,4,"55, 51, 23, 18",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
20,2,"21, 35",o,o,o,o,o,x,x,o,x,x,x,x,x,x,x,x,x,x
22,10,"41, 45, 37, 44, 31, 58, 46, 48, 34, 7",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,o
28,10,"12, 7, 16, 53, 33, 20, 20, 59, 22, 27",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,x,o,x
13,8,"3, 22, 32, 52, 53, 1, 1, 23",x,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,o,x
3,9,"16, 51, 19, 53, 19, 22, 55, 38, 27",x,o,o,o,x,x,o,o,o,x,o,o,o,o,o,o,o,o
26,3,"45, 31, 37",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,3,"59, 19, 59",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
5,7,"37, 58, 16, 62, 51, 3, 55",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
35,3,"1, 21, 40",o,o,x,o,x,x,x,o,x,x,x,x,x,x,x,x,x,x
4,9,"45, 8, 1, 62, 63, 22, 1, 60, 50",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
27,5,"24, 41, 41, 41, 60",o,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
21,4,"13, 37, 15, 58",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
31,5,"4, 62, 16, 4, 63",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
5,8,"52, 19, 50, 17, 35, 17, 3, 23",o,o,o,x,x,x,o,o,o,o,o,o,o,o,o,o,o,o
1,4,"58, 21, 62, 23",o,o,o,o,o,x,o,o,x,x,o,o,o,x,o,o,o,o
19,6,"14, 41, 46, 21, 6, 15",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,x
15,3,"46, 50, 47",o,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
27,6,"49, 4, 4, 38, 40, 56",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
30,3,"26, 47, 60",x,o,o,x,o,x,o,o,x,x,x,o,x,x,x,x,x,x
29,1,48,x,o,x,x,o,x,o,x,x,o,x,x,x,x,x,x,x,x
5,6,"20, 33, 4, 27, 28, 53",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
6,9,"14, 12, 45, 46, 15, 32, 3, 49, 40",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
33,5,"58, 42, 31, 48, 62",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
8,8,"60, 11, 27, 55, 17, 32, 41, 9",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
33,9,"33, 25, 53, 2, 15, 29, 51, 63, 45",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
8,4,"44, 61, 36, 19",o,o,o,x,o,x,o,o,x,x,o,x,o,x,o,x,x,o
30,7,"48, 51, 41, 13, 59, 54, 43",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
21,8,"18, 48, 20, 50, 17, 31, 28, 30",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,o,o
0,7,"13, 13, 57, 58, 47, 27, 16",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
27,5,"31, 41, 15, 19, 40",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
3,8,"27, 58, 29, 22, 20, 8, 57, 22",o,o,o,x,o,x,o,o,o,x,o,o,o,o,o,o,o,o
13,9,"16, 35, 61, 31, 42, 7, 49, 7, 18",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,o
7,10,"50, 5, 22, 31, 9, 47, 43, 47, 22, 37",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
13,10,"54, 47, 31, 38, 4, 40, 46, 56, 61, 54",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
33,2,"14, 46",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
20,2,"54, 53",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
32,2,"34, 26",x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
15,1,43,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
28,6,"49, 49, 54, 56, 12, 27",x,o,o,x,x,x,x,o,x,x,x,x,o,x,o,x,x,x
10,7,"14, 20, 63, 36, 20, 7, 51",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
1,5,"55, 14, 45, 31, 11",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
6,1,21,o,o,x,o,o,x,o,x,x,x,x,o,o,x,x,x,x,x
10,5,"49, 33, 15, 2, 11",x,o,x,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
21,4,"63, 63, 48, 30",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
20,4,"52, 47, 41, 19",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
20,5,"42, 45, 34, 58, 57",o,o,o,x,x,x,x,o,x,x,o,o,x,x,x,x,x,x
15,1,56,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
27,7,"2, 44, 22, 19, 27, 45, 39",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
32,5,"20, 9, 39, 12, 54",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
25,10,"39, 63, 5, 36, 32, 30, 42, 62, 56, 11",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,x,o
27,2,"25, 62",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
27,5,"63, 35, 36, 53, 51",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
6,3,"53, 38, 40",x,o,x,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
0,1,28,x,x,x,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
16,6,"18, 20, 58, 47, 5, 42",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,o,x
9,1,18,x,x,x,x,x,x,o,o,x,x,x,x,o,x,x,x,x,x
